 123.297 208.52 0.928
 101.394 198.897 0.835
 53.6815 168.262 0.63
 126.573 164.717 0.933
 100.11 150.318 0.831
 77.5235 137.682 0.733
 125.833 119.252 0.93
 99.8475 105.163 0.829
 75.2018 90.4607 0.725
 102.183 59.2303 0.829
 77.3602 46.4065 0.731
 54.5951 31.3789 0.629
 187.631 211.699 0.935
 163.172 197.998 0.833
 141.131 183.331 0.734
 117.401 167.344 0.632
 188.997 166.074 0.933
 164.2 151.61 0.835
 140.378 136.499 0.733
 116.642 120.414 0.628
 187.933 119.407 0.93
 162.745 103.069 0.827
 137.737 88.9328 0.722
 187.147 74.5493 0.928
 162.192 58.5917 0.825
 248.95 209.836 0.935
 227.357 196.585 0.835
 203.825 182.043 0.733
 180.175 165.928 0.628
 247.559 162.873 0.925
 226.193 149.807 0.833
 200.616 133.268 0.723
 178.113 119.129 0.624
 248.059 117.161 0.923
 224.01 102.761 0.825
 202.012 89.4987 0.727
 249.078 74.6911 0.928
 225.488 59.8786 0.829
 311.878 208.751 0.938
 290.034 191.571 0.833
 267.186 175.971 0.734
 310.913 164.33 0.93
 290.07 148.881 0.835
 267.811 132.454 0.733
 245.169 117.419 0.636
 310.509 120.331 0.93
 266.141 88.111 0.731
 312.269 75.8012 0.93
 289.407 58.1595 0.829
 244.664 29.0139 0.634 
