[-0.174533, 0.166307, 0.890386,
 -0.175001, 0.165025, 0.989769,
 -0.174996, 0.165022, 1.08976,
 -0.174991, 0.165022, 1.18975,
 -0.175244, 0.248479, 0.891038,
 -0.174996, 0.248338, 0.989739,
 -0.174997, 0.248345, 1.08973,
 -0.174997, 0.248352, 1.18973,
 -0.175253, 0.331882, 0.890964,
 -0.174989, 0.33166, 0.989741,
 -0.174995, 0.33167, 1.08972,
 -0.175001, 0.33168, 1.18971,
 -0.175538, 0.415826, 0.890674,
 -0.174946, 0.414922, 0.989756,
 -0.174983, 0.41498, 1.08972,
 -0.174999, 0.415006, 1.18971,
 -0.0587296, 0.165917, 0.890493,
 -0.0583592, 0.165086, 1.08954,
 -0.0583274, 0.165017, 1.18972,
 -0.0585201, 0.2485, 0.891051,
 -0.0583348, 0.248345, 0.989742,
 -0.0583316, 0.248346, 1.08973,
 -0.05833, 0.24835, 1.18972,
 -0.0584961, 0.331853, 0.891007,
 -0.0583307, 0.331669, 0.989735,
 -0.0583307, 0.331675, 1.08973,
 -0.0583321, 0.331681, 1.18971,
 -0.0585197, 0.415324, 0.890916,
 -0.0583227, 0.41498, 0.989737,
 -0.0583275, 0.414998, 1.08972,
 -0.0583322, 0.41501, 1.18971,
 0.0580335, 0.165961, 0.890459,
 0.0583282, 0.165026, 0.989763,
 0.058335, 0.165017, 1.08976,
 0.0583389, 0.165014, 1.18973,
 0.0582389, 0.248542, 0.891064,
 0.058332, 0.248348, 0.989742,
 0.058335, 0.248348, 1.08973,
 0.0583367, 0.248349, 1.18972,
 0.0582567, 0.331861, 0.89101,
 0.058334, 0.331673, 0.989734,
 0.0583353, 0.331677, 1.08973,
 0.0583356, 0.331682, 1.18971,
 0.0582584, 0.415264, 0.890949,
 0.0583368, 0.414992, 0.989735,
 0.058336, 0.415001, 1.08972,
 0.0583353, 0.415011, 1.18971,
 0.1748, 0.16598, 0.890444,
 0.175001, 0.165025, 0.989757,
 0.175003, 0.165018, 1.08975,
 0.175003, 0.165015, 1.18973,
 0.175031, 0.248546, 0.891035,
 0.175001, 0.248349, 0.98974,
 0.175002, 0.248349, 1.08973,
 0.175003, 0.24835, 1.18972,
 0.175024, 0.331857, 0.890992,
 0.175006, 0.33174, 1.08948,
 0.17501, 0.415097, 0.890588,
 0.175, 0.414993, 0.98973,
 0.175001, 0.415002, 1.08972,
 0.175002, 0.415011, 1.18971]
